index,DATASET,MODEL,RUN,BEST_PARAMS,TIME,Y_TRUE,Y_PRED,F1,ACCURACY,RECALL
44,Dysarthria,RDF,14,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",29.00307869911194,"[['Dysarthric']
 ['Control']
 ['Control']
 ...
 ['Dysarthric']
 ['Dysarthric']
 ['Control']]",['Dysarthric' 'Control' 'Control' ... 'Dysarthric' 'Dysarthric' 'Control'],0.9086603108812344,0.9095744680851063,0.9095744680851063
45,Dysarthria,KNN,15,"{'n_neighbors': 10, 'weights': 'distance'}",0.5462260246276855,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Dysarthric'],0.7816544702511399,0.7897163120567375,0.7897163120567375
46,Dysarthria,SVM,15,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",73.009042263031,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.510169716650605,0.6478723404255319,0.6478723404255319
47,Dysarthria,RDF,15,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",28.734644889831543,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.9161967903620885,0.9170212765957447,0.9170212765957447
48,Dysarthria,KNN,16,"{'n_neighbors': 10, 'weights': 'distance'}",0.5516819953918457,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Dysarthric']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Dysarthric' 'Dysarthric'],0.7681792627697446,0.7794326241134751,0.7794326241134751
49,Dysarthria,SVM,16,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",70.56346607208252,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Dysarthric']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.5186177073399816,0.6542553191489362,0.6542553191489362
50,Dysarthria,RDF,16,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",26.92745566368103,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Dysarthric']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Dysarthric' 'Dysarthric'],0.8977501731996512,0.8992907801418439,0.8992907801418439
51,Dysarthria,KNN,17,"{'n_neighbors': 10, 'weights': 'distance'}",0.5123038291931152,"[['Dysarthric']
 ['Dysarthric']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Dysarthric' 'Control' ... 'Control' 'Dysarthric' 'Control'],0.7780524375594136,0.7872340425531915,0.7872340425531915
52,Dysarthria,SVM,17,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",64.86750411987305,"[['Dysarthric']
 ['Dysarthric']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.5258308338398348,0.6599290780141844,0.6599290780141844
53,Dysarthria,RDF,17,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",27.280781745910645,"[['Dysarthric']
 ['Dysarthric']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Dysarthric' 'Control' ... 'Control' 'Control' 'Control'],0.9070604107943475,0.9081560283687943,0.9081560283687943
54,Dysarthria,KNN,18,"{'n_neighbors': 10, 'weights': 'distance'}",0.5831217765808105,"[['Dysarthric']
 ['Control']
 ['Control']
 ...
 ['Dysarthric']
 ['Control']
 ['Dysarthric']]",['Dysarthric' 'Control' 'Control' ... 'Dysarthric' 'Control' 'Dysarthric'],0.7701052264588609,0.7801418439716312,0.7801418439716312
55,Dysarthria,SVM,18,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",60.610944747924805,"[['Dysarthric']
 ['Control']
 ['Control']
 ...
 ['Dysarthric']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.5067948089883771,0.6443262411347518,0.6443262411347518
56,Dysarthria,RDF,18,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",26.01435351371765,"[['Dysarthric']
 ['Control']
 ['Control']
 ...
 ['Dysarthric']
 ['Control']
 ['Dysarthric']]",['Dysarthric' 'Control' 'Control' ... 'Dysarthric' 'Control' 'Dysarthric'],0.8933008561365504,0.8946808510638298,0.8946808510638298
57,Dysarthria,KNN,19,"{'n_neighbors': 10, 'weights': 'distance'}",0.5562777519226074,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Dysarthric'],0.778104456419143,0.7865248226950354,0.7865248226950354
58,Dysarthria,SVM,19,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",73.12922191619873,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.5132265431942254,0.65,0.65
59,Dysarthria,RDF,19,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",27.746851921081543,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Dysarthric'],0.9053864275594465,0.9063829787234042,0.9063829787234042
60,Dysarthria,KNN,20,"{'n_neighbors': 10, 'weights': 'distance'}",0.5119385719299316,"[['Dysarthric']
 ['Control']
 ['Dysarthric']
 ...
 ['Dysarthric']
 ['Control']
 ['Control']]","['Dysarthric' 'Control' 'Dysarthric' ... 'Dysarthric' 'Control'
 'Dysarthric']",0.7808717033090675,0.7893617021276595,0.7893617021276595
61,Dysarthria,SVM,20,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",70.2433910369873,"[['Dysarthric']
 ['Control']
 ['Dysarthric']
 ...
 ['Dysarthric']
 ['Control']
 ['Control']]",['Control' 'Control' 'Dysarthric' ... 'Control' 'Control' 'Control'],0.51224704122372,0.648936170212766,0.648936170212766
62,Dysarthria,RDF,20,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",27.081015586853027,"[['Dysarthric']
 ['Control']
 ['Dysarthric']
 ...
 ['Dysarthric']
 ['Control']
 ['Control']]",['Dysarthric' 'Control' 'Dysarthric' ... 'Dysarthric' 'Control' 'Control'],0.9028802625622454,0.9042553191489362,0.9042553191489362
63,Dysarthria,KNN,21,"{'n_neighbors': 6, 'weights': 'distance'}",0.5574624538421631,"[['Control']
 ['Dysarthric']
 ['Control']
 ...
 ['Dysarthric']
 ['Dysarthric']
 ['Control']]",['Control' 'Dysarthric' 'Control' ... 'Dysarthric' 'Dysarthric' 'Control'],0.7765193965489198,0.7836879432624113,0.7836879432624113
64,Dysarthria,SVM,21,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",61.02461099624634,"[['Control']
 ['Dysarthric']
 ['Control']
 ...
 ['Dysarthric']
 ['Dysarthric']
 ['Control']]",['Control' 'Dysarthric' 'Control' ... 'Control' 'Control' 'Control'],0.49404172194715107,0.6347517730496454,0.6347517730496454
65,Dysarthria,RDF,21,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",27.875468015670776,"[['Control']
 ['Dysarthric']
 ['Control']
 ...
 ['Dysarthric']
 ['Dysarthric']
 ['Control']]",['Control' 'Dysarthric' 'Control' ... 'Dysarthric' 'Dysarthric' 'Control'],0.9056725194326802,0.9067375886524822,0.9067375886524822
66,Dysarthria,KNN,22,"{'n_neighbors': 10, 'weights': 'distance'}",0.48471879959106445,"[['Control']
 ['Control']
 ['Dysarthric']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Control' 'Dysarthric' ... 'Control' 'Control' 'Control'],0.773354346858178,0.7822695035460993,0.7822695035460993
67,Dysarthria,SVM,22,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",71.9464430809021,"[['Control']
 ['Control']
 ['Dysarthric']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.5113508437270726,0.64822695035461,0.64822695035461
68,Dysarthria,RDF,22,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",24.50473713874817,"[['Control']
 ['Control']
 ['Dysarthric']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Control' 'Dysarthric' ... 'Control' 'Control' 'Control'],0.9103429129636272,0.9113475177304965,0.9113475177304965
69,Dysarthria,KNN,23,"{'n_neighbors': 6, 'weights': 'distance'}",0.5203478336334229,"[['Control']
 ['Dysarthric']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Dysarthric' 'Control' ... 'Control' 'Control' 'Control'],0.7877956746852014,0.7925531914893617,0.7925531914893617
70,Dysarthria,SVM,23,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",66.09058332443237,"[['Control']
 ['Dysarthric']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.5335256715363109,0.6659574468085107,0.6659574468085107
71,Dysarthria,RDF,23,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",28.58239436149597,"[['Control']
 ['Dysarthric']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Dysarthric' 'Control' ... 'Control' 'Control' 'Control'],0.9193203881758953,0.9198581560283688,0.9198581560283688
72,Dysarthria,KNN,24,"{'n_neighbors': 10, 'weights': 'distance'}",12.880201578140259,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Dysarthric'],0.7680309232569172,0.7769503546099291,0.7769503546099291
73,Dysarthria,SVM,24,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",73.64709258079529,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.5202464316732511,0.6549645390070922,0.6549645390070922
74,Dysarthria,RDF,24,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",28.09530520439148,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.914477804264498,0.9152482269503546,0.9152482269503546
75,Dysarthria,KNN,25,"{'n_neighbors': 10, 'weights': 'distance'}",0.5890936851501465,"[['Control']
 ['Control']
 ['Dysarthric']
 ...
 ['Control']
 ['Dysarthric']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Dysarthric' 'Control'],0.7694953411489446,0.7790780141843971,0.7790780141843971
76,Dysarthria,SVM,25,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",69.98575615882874,"[['Control']
 ['Control']
 ['Dysarthric']
 ...
 ['Control']
 ['Dysarthric']
 ['Control']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.5020469689404908,0.6411347517730497,0.6411347517730497
77,Dysarthria,RDF,25,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",29.289534330368042,"[['Control']
 ['Control']
 ['Dysarthric']
 ...
 ['Control']
 ['Dysarthric']
 ['Control']]",['Control' 'Control' 'Dysarthric' ... 'Control' 'Dysarthric' 'Control'],0.8932046428848207,0.8950354609929078,0.8950354609929078
78,Dysarthria,KNN,26,"{'n_neighbors': 10, 'weights': 'distance'}",0.6229050159454346,"[['Dysarthric']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Dysarthric']
 ['Dysarthric']]",['Dysarthric' 'Control' 'Control' ... 'Control' 'Dysarthric' 'Dysarthric'],0.7851785314588074,0.7936170212765957,0.7936170212765957
79,Dysarthria,SVM,26,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",75.0209891796112,"[['Dysarthric']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Dysarthric']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.5159201142904176,0.652127659574468,0.652127659574468
80,Dysarthria,RDF,26,"{'max_depth': None, 'min_samples_split': 8, 'n_estimators': 200}",27.664347171783447,"[['Dysarthric']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Dysarthric']
 ['Dysarthric']]",['Dysarthric' 'Control' 'Control' ... 'Control' 'Dysarthric' 'Dysarthric'],0.915825817256539,0.9166666666666666,0.9166666666666666
81,Dysarthria,KNN,27,"{'n_neighbors': 10, 'weights': 'distance'}",0.5969085693359375,"[['Dysarthric']
 ['Dysarthric']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Dysarthric' 'Dysarthric' 'Control' ... 'Control' 'Control' 'Control'],0.7673502933304496,0.7776595744680851,0.7776595744680851
82,Dysarthria,SVM,27,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",75.47846341133118,"[['Dysarthric']
 ['Dysarthric']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Dysarthric' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.5115141071283675,0.648936170212766,0.648936170212766
83,Dysarthria,RDF,27,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",27.515474557876587,"[['Dysarthric']
 ['Dysarthric']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Control']]",['Dysarthric' 'Dysarthric' 'Control' ... 'Control' 'Control' 'Control'],0.9034474239830619,0.9046099290780142,0.9046099290780142
84,Dysarthria,KNN,28,"{'n_neighbors': 6, 'weights': 'distance'}",0.5370759963989258,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Dysarthric'],0.7847465584922814,0.7904255319148936,0.7904255319148936
85,Dysarthria,SVM,28,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",68.84251880645752,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.5212336546366045,0.6560283687943262,0.6560283687943262
86,Dysarthria,RDF,28,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",26.170458555221558,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Control']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Dysarthric'],0.9139482274107951,0.9148936170212766,0.9148936170212766
87,Dysarthria,KNN,29,"{'n_neighbors': 10, 'weights': 'distance'}",0.5543770790100098,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Dysarthric']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Dysarthric' 'Control' 'Dysarthric'],0.7859623718314237,0.7936170212765957,0.7936170212765957
88,Dysarthria,SVM,29,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",76.15214204788208,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Dysarthric']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Control' 'Control' 'Control'],0.52238894138023,0.6578014184397163,0.6578014184397163
89,Dysarthria,RDF,29,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",28.066132307052612,"[['Control']
 ['Control']
 ['Control']
 ...
 ['Dysarthric']
 ['Control']
 ['Dysarthric']]",['Control' 'Control' 'Control' ... 'Dysarthric' 'Control' 'Dysarthric'],0.9006520230939513,0.9014184397163121,0.9014184397163121
